,index,epoch,Error,Disparity,model
22,resnetrs101_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.40957307490832895,0.37887384831536575,resnetrs101
168,resnetrs101_CosFace_AdamW_rank_by_id_val,99,0.1891697223677318,0.22393677079412877,resnetrs101
120,resnetrs101_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.35168936616029334,0.42747667703243,resnetrs101
37,resnetrs101_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.1965688842325825,0.40919265004424543,resnetrs101
159,resnetrs101_CosFace_SGD_rank_by_id_val,99,0.12781561026715557,0.4092589241864192,resnetrs101
261,resnetrs101_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4328182294394971,0.3988070309029761,resnetrs101
180,resnetrs101_MagFace_SGD_rank_by_id_val,99,0.17103195390256679,0.4165958737864077,resnetrs101
175,rexnet_200_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.338462545835516,0.3494580559718399,rexnet_200
167,rexnet_200_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.05500261917234154,0.4196328678572908,rexnet_200
146,rexnet_200_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.18707438449449973,0.47368558042686104,rexnet_200
134,rexnet_200_CosFace_SGD_rank_by_id_val,99,0.045966474594028285,0.4037303142463168,rexnet_200
226,rexnet_200_ArcFace_AdamW_rank_by_id_val,99,0.9412650602409639,0.11944149102507984,rexnet_200
16,rexnet_200_ArcFace_SGD_rank_by_id_val,99,0.21712938711367208,0.40831648859370484,rexnet_200
21,rexnet_200_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.08492666317443688,0.39395838142663975,rexnet_200
23,rexnet_200_MagFace_SGD_rank_by_id_val,99,0.09226034573074908,0.45574423678967846,rexnet_200
190,rexnet_200_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.0464903090623363,0.4019255837354494,rexnet_200
88,rexnet_200_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.31960450497642745,0.3762472947350277,rexnet_200
83,rexnet_200_CosFace_AdamW_rank_by_id_val,99,0.9692247249869042,0.04623525638741399,rexnet_200
107,selecsls60b_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.40813253012048195,0.29570548367221194,selecsls60b
179,selecsls60b_CosFace_AdamW_rank_by_id_val,99,0.7784180199057098,0.4040223676329827,selecsls60b
99,selecsls60b_MagFace_AdamW_rank_by_id_val,99,0.18720534311157674,0.4891181564876873,selecsls60b
263,selecsls60b_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.38508381351492926,0.34743025152650353,selecsls60b
0,selecsls60b_MagFace_SGD_rank_by_id_val,99,0.30591932949188055,0.3767023172905525,selecsls60b
195,selecsls60b_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.29341278156102674,0.3911603862257541,selecsls60b
70,selecsls60b_ArcFace_SGD_rank_by_id_val,99,0.3385280251440545,0.22957676256601545,selecsls60b
251,selecsls60b_CosFace_Adam_rank_by_id_val,99,0.9960057621791514,0.14886385880203568,selecsls60b
13,selecsls60b_CosFace_SGD_rank_by_id_val,99,0.40878732320586697,0.32747282480824436,selecsls60b
11,selecsls60b_ArcFace_AdamW_rank_by_id_val,99,0.250392875851231,0.4368874515515837,selecsls60b
154,selecsls60b_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.29020429544264015,0.45515610725992806,selecsls60b
194,selecsls60b_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.25680984808800417,0.44620826319490314,selecsls60b
324,swin_base_patch4_window7_224_ArcFace_SGD_rank_by_id_val,99,0.963986380303824,0.10537404523825478,swin_base_patch4_window7_224
316,swin_base_patch4_window7_224_CosFace_Adam_rank_by_id_val,99,0.16278156102671557,0.43207845055702565,swin_base_patch4_window7_224
314,swin_base_patch4_window7_224_MagFace_AdamW_rank_by_id_val,99,0.19257464641173389,0.5115869756526841,swin_base_patch4_window7_224
329,swin_base_patch4_window7_224_CosFace_AdamW_rank_by_id_val,99,0.16147197485594553,0.44409767247631815,swin_base_patch4_window7_224
344,swin_base_patch4_window7_224_ArcFace_AdamW_rank_by_id_val,99,0.44015191199580933,0.5064938700106365,swin_base_patch4_window7_224
310,swin_base_patch4_window7_224_CosFace_SGD_rank_by_id_val,99,0.9668674698795181,0.1098060012615969,swin_base_patch4_window7_224
293,swin_base_patch4_window7_224_MagFace_SGD_rank_by_id_val,99,0.9575039287585123,0.14929168444188234,swin_base_patch4_window7_224
234,swin_base_patch4_window7_224_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.26178627553693035,0.49554339672594094,swin_base_patch4_window7_224
272,swin_base_patch4_window7_224_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.9945652173913043,0.05527653529216314,swin_base_patch4_window7_224
207,swin_base_patch4_window7_224_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.998952331063384,0.00463716610118281,swin_base_patch4_window7_224
260,tf_efficientnet_b7_ns_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.1533525405971713,0.3086026096005551,tf_efficientnet_b7_ns
201,tf_efficientnet_b7_ns_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6856338397066527,0.4171839013155326,tf_efficientnet_b7_ns
299,tf_efficientnet_b7_ns_CosFace_rmsproptf_rank_by_id_val,99,0.10535620743844945,0.3942983336679382,tf_efficientnet_b7_ns
93,tf_efficientnet_b7_ns_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.588593504452593,0.4797753703998726,tf_efficientnet_b7_ns
341,tf_efficientnet_b7_ns_ArcFace_AdamW_rank_by_id_val,99,0.9977082242011525,0.01000262242856298,tf_efficientnet_b7_ns
287,tf_efficientnet_b7_ns_ArcFace_SGD_rank_by_id_val,99,0.9970534311157674,0.00426568741320843,tf_efficientnet_b7_ns
347,tf_efficientnet_b7_ns_CosFace_AdamW_rank_by_id_val,99,0.2039025667888947,0.3814955640050697,tf_efficientnet_b7_ns
230,tf_efficientnet_b7_ns_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.11255893137768465,0.33138646288209606,tf_efficientnet_b7_ns
1,tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.9967915138816134,0.03181652307629579,tf_efficientnet_b7_ns
282,tf_efficientnet_b7_ns_CosFace_SGD_rank_by_id_val,99,0.1506678889470927,0.44322491907136996,tf_efficientnet_b7_ns
288,tf_efficientnet_b7_ns_MagFace_SGD_rank_by_id_val,99,0.8178365636458879,0.24535055946214612,tf_efficientnet_b7_ns
217,tf_efficientnet_b7_ns_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.9981665793609219,0.037475689423029035,tf_efficientnet_b7_ns
340,tf_efficientnet_b7_ns_MagFace_AdamW_rank_by_id_val,99,0.7048192771084337,0.4919941984864368,tf_efficientnet_b7_ns
