Model	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ese_vovnet39b	222	0	0.0	2.816	24.963	2.491	0.0	2.266	26.695	2.573
gcresnet50t	222	0	0.0	1.257	19.369	2.137	0.0	1.021	19.967	1.66
ese_vovnet19b_dw	222	1	0.0	23.415	23.627	12.859	0.0	17.365	23.574	11.089
res2next50	222	-1	0.0	6.548	8.36	1.828	0.0	5.919	7.794	1.72
gluon_resnet50_v1c	222	0	0.0	1.899	18.956	2.778	0.0	1.729	18.476	2.2
res2net50_26w_6s	222	-1	0.0	7.15	8.225	1.941	0.0	6.522	7.647	1.782
resnet101	222	-1	0.0	6.456	8.518	1.93	0.0	5.828	7.962	1.795
lcnet_100	222	0	0.0	4.295	16.31	0.687	0.0	2.567	14.404	0.591
hardcorenas_b	222	0	0.0	1.035	6.502	0.505	0.0	0.602	5.098	0.382
fbnetv3_b	222	1	0.0	15.977	nan	0.202	0.0	4.937	2.882	0.152
fbnetv3_d	222	1	0.0	3.418	17.899	3.056	0.0	1.899	19.244	2.622
adv_inception_v3	222	1	0.0	5.474	24.447	6.848	0.0	4.034	28.649	7.637
resnet32ts	222	-1	0.0	4.557	33.536	6.326	0.0	3.785	30.988	5.545
gluon_seresnext50_32x4d	222	0	0.0	4.217	18.409	3.446	0.0	3.719	18.945	3.241
convmixer_1024_20_ks9_p14	222	0	0.0	3.169	60.249	14.475	0.0	1.637	60.244	14.439
ese_vovnet19b_dw	222	2	0.0	34.547	24.171	14.962	0.0	24.751	23.106	12.653
gcresnet33ts	222	1	0.0	4.348	36.014	9.5	0.0	4.034	30.451	7.375
legacy_seresnext50_32x4d	222	0	0.0	3.169	20.056	1.898	0.0	2.803	20.473	1.798
regnetz_b16	222	0	0.0	5.605	35.045	10.291	0.0	5.068	32.784	9.435
tf_efficientnet_b0_ap	222	-1	0.0	12.271	34.178	12.173	0.0	10.791	33.967	11.3
fbnetv3_b	222	2	0.0	17.457	16.352	0.341	0.0	4.95	15.651	0.321
efficientnet_lite0	222	1	0.0	2.541	22.308	1.808	0.0	0.864	21.696	1.233
efficientnet_es	222	1	0.0	4.256	16.087	2.69	0.0	3.208	16.538	2.132
gernet_s	222	1	0.0	5.251	18.756	4.232	0.0	4.204	22.196	5.305
ese_vovnet39b	222	1	0.0	6.823	14.491	3.147	0.0	4.754	16.758	3.349
fbnetv3_d	222	2	0.0	9.154	15.395	3.91	0.0	5.225	16.825	3.562
gcresnet50t	222	1	0.0	5.029	14.533	3.023	0.0	3.104	17.327	2.767
adv_inception_v3	222	2	0.0	11.158	22.424	8.195	0.0	7.478	26.066	9.31
tf_efficientnet_lite2	222	-1	0.0	7.137	5.18	1.838	0.0	5.985	5.119	1.777
gluon_resnet50_v1c	222	1	0.0	5.54	17.691	3.962	0.0	3.772	16.923	3.141
tf_mobilenetv3_large_100	222	-1	0.0	10.149	11.849	4.003	0.0	9.062	11.181	3.59
res2next50	222	0	0.0	5.671	21.37	4.147	0.0	4.623	19.368	3.863
lcnet_100	222	1	0.0	2.711	13.589	1.766	0.0	2.122	10.713	1.47
hardcorenas_b	222	1	0.0	5.448	7.543	1.744	0.0	3.824	5.827	1.374
